,Hour,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR PV,SOLAR THERMAL
2017-08-21,1,971,245,164,406,2032,0,0
2017-08-21,2,971,246,174,408,2056,0,0
2017-08-21,3,971,248,175,406,1912,0,0
2017-08-21,4,972,250,175,415,1808,0,0
2017-08-21,5,972,251,175,405,1771,0,0
2017-08-21,6,973,250,175,412,1681,0,0
2017-08-21,7,972,254,175,441,1560,174,0
2017-08-21,8,971,256,174,442,1559,2376,0
2017-08-21,9,969,259,174,495,1582,5484,86
2017-08-21,10,965,258,169,463,1534,5312,141
2017-08-21,11,945,260,172,451,1372,3503,110
2017-08-21,12,939,259,176,457,1297,6329,201
2017-08-21,13,936,256,176,460,1308,8700,472
2017-08-21,14,936,257,176,468,1496,8857,527
2017-08-21,15,936,260,177,471,1584,8732,598
2017-08-21,16,936,262,175,501,1620,7983,395
2017-08-21,17,936,260,176,486,1649,7020,262
2017-08-21,18,935,258,174,528,1580,5329,228
2017-08-21,19,955,258,172,610,1644,2193,119
2017-08-21,20,964,255,172,604,1845,114,0
2017-08-21,21,967,247,171,583,2358,0,0
2017-08-21,22,970,235,171,484,2282,0,0
2017-08-21,23,970,230,171,436,1840,0,0
2017-08-21,24,971,228,172,423,1620,0,0
