value	label
0000	N/A
1100	General Agriculture
1101	Agriculture Production and Management
1102	Agricultural Economics
1103	Animal Sciences
1104	Food Science
1105	Plant Science and Agronomy
1106	Soil Science
1199	Miscellaneous Agriculture
1300	Environment and Natural Resources
1301	Environmental Science
1302	Forestry
1303	Natural Resources Management
1401	Architecture
1501	Area, Ethnic, and Civilization Studies
1900	Communications
1901	Communications
1902	Journalism
1903	Mass Media
1904	Advertising and Public Relations
2001	Communication Technologies
2100	Computer and Information Systems
2101	Computer Programming and Data Processing
2102	Computer Science
2105	Information Sciences
2106	Computer Information Management and Security
2107	Computer Networking and Telecommunications
2201	Cosmetology Services and Culinary Arts
2300	General Education
2301	Educational Administration and Supervision
2303	School Student Counseling
2304	Elementary Education
2305	Mathematics Teacher Education
2306	Physical and Health Education Teaching
2307	Early Childhood Education
2308	Science and Computer Teacher Education
2309	Secondary Teacher Education
2310	Special Needs Education
2311	Social Science or History Teacher Education
2312	Teacher Education: Multiple Levels
2313	Language and Drama Education
2314	Art and Music Education
2399	Miscellaneous Education
2400	General Engineering
2401	Aerospace Engineering
2402	Biological Engineering
2403	Architectural Engineering
2404	Biomedical Engineering
2405	Chemical Engineering
2406	Civil Engineering
2407	Computer Engineering
2408	Electrical Engineering
2409	Engineering Mechanics, Physics, and Science
2410	Environmental Engineering
2411	Geological and Geophysical Engineering
2412	Industrial and Manufacturing Engineering
2413	Materials Engineering and Materials Science
2414	Mechanical Engineering
2415	Metallurgical Engineering
2416	Mining and Mineral Engineering
2417	Naval Architecture and Marine Engineering
2418	Nuclear Engineering
2419	Petroleum Engineering
2499	Miscellaneous Engineering
2500	Engineering Technologies
2501	Engineering and Industrial Management
2502	Electrical Engineering Technology
2503	Industrial Production Technologies
2504	Mechanical Engineering Related Technologies
2599	Miscellaneous Engineering Technologies
2600	Linguistics and Foreign Languages
2601	Linguistics and Comparative Language and Literature
2602	French, German, Latin and Other Common Foreign Language Studies
2603	Other Foreign Languages
2901	Family and Consumer Sciences
3200	Law
3201	Court Reporting
3202	Pre-Law and Legal Studies
3300	English Language, Literature, and Composition
3301	English Language and Literature
3302	Composition and Speech
3400	Liberal Arts and Humanities
3401	Liberal Arts
3402	Humanities
3501	Library Science
3600	Biology
3601	Biochemical Sciences
3602	Botany
3603	Molecular Biology
3604	Ecology
3605	Genetics
3606	Microbiology
3607	Pharmacology
3608	Physiology
3609	Zoology
3611	Neuroscience
3699	Miscellaneous Biology
3700	Mathematics
3701	Applied Mathematics
3702	Statistics and Decision Science
3801	Military Technologies
4000	Interdisciplinary and Multi-Disciplinary Studies (General)
4001	Intercultural and International Studies
4002	Nutrition Sciences
4003	Neuroscience
4004	Accounting and Computer Science
4005	Mathematics and Computer Science
4006	Cognitive Science and Biopsychology
4007	Interdisciplinary Social Sciences
4008	Multi-disciplinary or General Science
4101	Physical Fitness, Parks, Recreation, and Leisure
4801	Philosophy and Religious Studies
4901	Theology and Religious Vocations
5000	Physical Sciences
5001	Astronomy and Astrophysics
5002	Atmospheric Sciences and Meteorology
5003	Chemistry
5004	Geology and Earth Science
5005	Geosciences
5006	Oceanography
5007	Physics
5008	Materials Science
5098	Multi-disciplinary or General Science
5102	Nuclear, Industrial Radiology, and Biological Technologies
5200	Psychology
5201	Educational Psychology
5202	Clinical Psychology
5203	Counseling Psychology
5205	Industrial and Organizational Psychology
5206	Social Psychology
5299	Miscellaneous Psychology
5301	Criminal Justice and Fire Protection
5400	Public Affairs, Policy, and Social Work
5401	Public Administration
5402	Public Policy
5403	Human Services and Community Organization
5404	Social Work
5500	General Social Sciences
5501	Economics
5502	Anthropology and Archeology
5503	Criminology
5504	Geography
5505	International Relations
5506	Political Science and Government
5507	Sociology
5599	Miscellaneous Social Sciences
5601	Construction Services
5701	Electrical and Mechanic Repairs and Technologies
5801	Precision Production and Industrial Arts
5901	Transportation Sciences and Technologies
6000	Fine Arts
6001	Drama and Theater Arts
6002	Music
6003	Visual and Performing Arts
6004	Commercial Art and Graphic Design
6005	Film, Video and Photographic Arts
6006	Art History and Criticism
6007	Studio Arts
6008	Video Game Design and Development
6099	Miscellaneous Fine Arts
6100	General Medical and Health Services
6102	Communication Disorders Sciences and Services
6103	Health and Medical Administrative Services
6104	Medical Assisting Services
6105	Medical Technologies Technicians
6106	Health and Medical Preparatory Programs
6107	Nursing
6108	Pharmacy, Pharmaceutical Sciences, and Administration
6109	Treatment Therapy Professions
6110	Community and Public Health
6199	Miscellaneous Health Medical Professions
6200	General Business
6201	Accounting
6202	Actuarial Science
6203	Business Management and Administration
6204	Operations, Logistics and E-Commerce
6205	Business Economics
6206	Marketing and Marketing Research
6207	Finance
6209	Human Resources and Personnel Management
6210	International Business
6211	Hospitality Management
6212	Management Information Systems and Statistics
6299	Miscellaneous Business and Medical Administration
6402	History
6403	United States History
