Country,Unique Owners,Unique Properties,Total Property Values,"GDP (current USD, 2018 or latest available - for coverage)",Total Property Value / GDP,Mean Property value,Median Property Value,Number of firms,Mean Age,Number with age variable,Born 1985 or later (34 or younger),Born 1959 or earlier (60 or older),Middle age (35 to 59),Female share,Number of females,Number with gender variable,Properties in Dubai Marina,Properties in Palm Jumeirah,Number of villas,Number of buildings,Share of total values owned by top 10% owners,Share of total values owned by top 10% persons,Share of total values owned by top 10% firms,Share of total values owned by top 1% owners,Share of total values owned by top 1% persons,Share of total values owned by top 1% firms
World,273871,883268,"USD 532,564,964,318",8.63E+13,0.62%,"USD 603,015","USD 212,081",8017,49.7,249831,30276,50278,169277,40%,108514,273813,41685,17186,58913,4114,80%,26%,51%,63%,13%,38%
Afghanistan,1134,3220,"USD 1,410,029,024",1.81E+10,7.81%,"USD 437,897","USD 252,006",0,45.4,1123,246,145,732,17%,191,1134,98,199,352,16,66%,66%,NaN,38%,38%,NaN
Albania,17,19,"USD 6,762,555",1.52E+10,0.04%,"USD 355,924","USD 325,745",0,40.4,16,4.9998,0,13,56%,9,16,4.9998,4.9998,4.9998,0,79%,79%,NaN,56%,56%,NaN
Algeria,790,1539,"USD 450,011,530",1.75E+11,0.26%,"USD 292,405","USD 196,108",0,48.8,787,86,123,578,29%,228,789,173,27,131,0,54%,54%,NaN,25%,25%,NaN
American Samoa,4.9998,9,"USD 10,082,724",6.39E+08,1.58%,"USD 1,120,303","USD 844,572",0,57.5,4.9998,0,4.9998,4.9998,,4.9998,4.9998,0,0,0,0,93%,93%,NaN,93%,93%,NaN
Andorra,4.9998,4.9998,"USD 243,222",3.22E+09,0.01%,NaN,NaN,0,54,4.9998,0,0,4.9998,,4.9998,4.9998,4.9998,0,0,0,100%,100%,NaN,100%,100%,NaN
Angola,35,113,"USD 27,196,278",1.01E+11,0.03%,"USD 240,675","USD 222,856",0,49.5,35,6,7,22,34%,12,35,10,0,4.9998,0,70%,70%,NaN,58%,58%,NaN
Antigua & Barbuda,14,35,"USD 125,462,366",1.61E+09,7.81%,"USD 3,584,639","USD 573,702",0,52.1,13,0,0,13,43%,6,14,0,0,9,0,86%,86%,NaN,80%,80%,NaN
Argentina,90,147,"USD 51,256,316",5.25E+11,0.01%,"USD 348,682","USD 217,929",0,42.3,90,20,4.9998,68,40%,36,90,15,10,26,0,44%,44%,NaN,10%,10%,NaN
Armenia,180,296,"USD 207,650,157",1.25E+10,1.67%,"USD 701,521","USD 242,296",0,49.5,179,18,33,128,37%,67,180,65,33,12,0,72%,72%,NaN,56%,56%,NaN
Australia,1806,2809,"USD 1,197,513,851",1.43E+12,0.08%,"USD 426,313","USD 273,738",4.9998,49.5,1760,125,279,1356,35%,635,1802,257,133,477,0,45%,45%,0%,18%,18%,0%
Austria,371,687,"USD 401,901,466",4.55E+11,0.09%,"USD 585,009","USD 320,988",6,51.3,351,34,73,244,34%,123,366,88,75,87,0,61%,59%,1%,31%,31%,1%
Azerbaijan,575,1583,"USD 741,250,431",4.71E+10,1.57%,"USD 468,257","USD 256,385",0,45.2,566,104,53,409,38%,217,573,264,93,94,4.9998,64%,64%,NaN,28%,28%,NaN
Bahamas,64,826,"USD 304,883,058",1.28E+10,2.37%,"USD 369,108","USD 244,748",63,53,4.9998,0,0,4.9998,98%,63,64,18,10,6,10,66%,0%,66%,23%,0%,23%
Bahrain,1059,3042,"USD 1,426,457,684",3.78E+10,3.77%,"USD 468,921","USD 266,635",8,53.1,1041,138,364,539,34%,356,1059,143,67,183,6,65%,53%,8%,33%,24%,8%
Bangladesh,459,972,"USD 314,783,309",2.74E+11,0.11%,"USD 323,851","USD 188,927",4.9998,50.3,457,42,97,318,27%,124,459,64,19,100,4.9998,55%,48%,8%,20%,14%,8%
Barbados,5,18,"USD 9,314,867",5.09E+09,0.18%,"USD 517,493","USD 325,854",4.9998,48,4.9998,4.9998,0,4.9998,,4.9998,5,4.9998,4.9998,0,0,72%,5%,72%,72%,5%,72%
Belarus,137,228,"USD 64,661,099",6.00E+10,0.11%,"USD 283,601","USD 184,791",0,43.3,136,26,6,104,64%,87,137,30,19,9,4.9998,55%,55%,NaN,32%,32%,NaN
Belgium,745,1511,"USD 593,019,034",5.43E+11,0.11%,"USD 392,468","USD 216,335",4.9998,49.8,711,59,133,519,37%,276,744,206,97,164,4.9998,52%,49%,4%,22%,20%,4%
Belize,21,42,"USD 25,280,495",1.92E+09,1.32%,"USD 601,917","USD 378,304",0,52.8,20,4.9998,7,10,50%,10,20,0,4.9998,6,0,57%,57%,NaN,36%,36%,NaN
Benin,10,17,"USD 4,822,471",1.43E+10,0.03%,"USD 283,675","USD 285,951",0,51.1,10,0,4.9998,8,,4.9998,10,4.9998,0,4.9998,0,23%,23%,NaN,23%,23%,NaN
Bermuda,4.9998,45,"USD 19,832,311",7.22E+09,0.27%,"USD 440,718","USD 132,736",0,46.3,4.9998,0,0,4.9998,,4.9998,4.9998,0,4.9998,4.9998,4.9998,98%,98%,NaN,98%,98%,NaN
Bhutan,11,12,"USD 4,583,258",2.45E+09,0.19%,"USD 381,938","USD 445,504",0,46.9,11,4.9998,4.9998,9,,4.9998,11,4.9998,0,5,0,38%,38%,NaN,17%,17%,NaN
Bolivia,5,5,"USD 1,033,388",4.03E+10,0.00%,"USD 206,678","USD 98,122",0,47.8,5,0,0,5,,4.9998,5,0,0,4.9998,0,70%,70%,NaN,70%,70%,NaN
Bosnia And Herzegovina,68,105,"USD 26,798,262",2.02E+10,0.13%,"USD 255,222","USD 185,587",0,52.1,68,9,17,42,40%,27,68,6,4.9998,26,0,34%,34%,NaN,6%,6%,NaN
Botswana,26,36,"USD 12,404,647",1.69E+10,0.07%,"USD 344,574","USD 271,641",0,58.5,25,0,10,15,36%,9,25,4.9998,4.9998,5,0,50%,50%,NaN,25%,25%,NaN
Brazil,253,323,"USD 137,597,331",1.92E+12,0.01%,"USD 425,998","USD 307,472",0,44.7,252,39,18,195,39%,99,252,24,20,80,0,41%,41%,NaN,14%,14%,NaN
British Virgin Islands,45,912,"USD 383,562,679",1.00E+09,38.36%,"USD 420,573","USD 246,430",44,47,4.9998,0,0,4.9998,100%,45,45,13,7,5,5,80%,0%,80%,49%,0%,49%
Brunei,13,17,"USD 3,756,692",1.36E+10,0.03%,"USD 220,982","USD 211,154",0,47.7,13,4.9998,4.9998,7,38%,5,13,4.9998,0,0,0,39%,39%,NaN,29%,29%,NaN
