DATE,UNRATE_lin,CPILFESL_pc1,NROU,DFF_lin,CPIAUCSL_pc1,GDPC1_lin,GDPPOT
1958/1/1,6.3,2.7972,5.41424036,1.869777778,3.45614,2908.281,3010.305042
1958/4/1,7.366666667,2.42775,5.418266,0.936923077,3.27225,2927.395,3037.248201
1958/7/1,7.333333333,2.06659,5.422658443,1.318913043,2.2998,2995.112,3064.719006
1958/10/1,6.366666667,1.82232,5.427429,2.163369565,1.91315,3065.141,3093.608068
1959/1/1,5.833333333,1.81406,5.432576656,2.577,0.89317,3123.978,3122.886378
1959/4/1,5.1,1.91874,5.438085556,3.07967033,0.39175,3194.429,3153.178507
1959/7/1,5.266666667,2.02475,5.443927,3.573369565,0.96841,3196.683,3185.162753
1959/10/1,5.6,2.12528,5.450064,3.991847826,1.47414,3205.79,3217.344888
1960/1/1,5.133333333,2.11581,5.45645237,3.931318681,1.39112,3277.847,3250.366089
1960/4/1,5.233333333,1.77187,5.463051,3.695054945,1.82486,3260.177,3283.108291
1960/7/1,5.533333333,1.21279,5.469829559,2.9375,1.35876,3276.133,3316.042383
1960/10/1,6.266666667,1.09529,5.47677,2.296195652,1.39598,3234.087,3348.673714
1961/1/1,6.8,0.87241,5.483875,1.987555556,1.50811,3255.914,3381.804068
1961/4/1,7,0.97933,5.491165,1.733516484,0.8679,3311.181,3414.1349
1961/7/1,6.766666667,1.52505,5.498675346,1.679347826,1.20536,3374.742,3447.81992
1961/10/1,6.2,1.30011,5.506455421,2.39673913,0.70517,3440.924,3481.85756
1962/1/1,5.633333333,1.2973,5.514559,2.458333333,0.89366,3502.298,3516.989741
1962/4/1,5.533333333,1.40086,5.523042,2.607142857,1.30741,3533.947,3553.033019
1962/7/1,5.566666667,1.28755,5.531950474,2.845108696,1.20214,3577.362,3589.988739
1962/10/1,5.533333333,1.17647,5.541324,2.924021739,1.30043,3589.128,3627.663663
1963/1/1,5.766666667,1.17396,5.551188,2.965666667,1.22896,3628.306,3665.786625
1963/4/1,5.733333333,1.16897,5.561552,2.964505495,1.03684,3669.02,3704.766174
1963/7/1,5.5,1.27119,5.572411,3.326521739,1.36384,3749.681,3744.430755
1963/10/1,5.566666667,1.58562,5.583747387,3.451304348,1.39346,3774.264,3784.929414
1964/1/1,5.466666667,1.89873,5.595527649,3.464395604,1.48748,3853.835,3825.531018
1964/4/1,5.2,1.57563,5.607706,3.487912088,1.46288,3895.793,3867.037803
1964/7/1,5,1.35983,5.620222569,3.456521739,1.07422,3956.657,3909.071834
1964/10/1,4.966666667,1.35276,5.633007,3.575108696,1.2661,3968.878,3951.17037
1965/1/1,4.9,1.24224,5.645977,3.977222222,1.16392,4064.915,3994.623462
1965/4/1,4.666666667,1.44778,5.659044,4.079450549,1.64622,4116.267,4037.38847
1965/7/1,4.366666667,1.34159,5.672116,4.0775,1.71766,4207.782,4081.823031
1965/10/1,4.1,1.3347,5.685105,4.17076087,1.78457,4304.731,4126.803396
1966/1/1,3.866666667,1.43149,5.69793,4.559,2.41824,4409.518,4172.539385
1966/4/1,3.833333333,2.14067,5.710529,4.913736264,2.68868,4424.581,4218.960731
1966/7/1,3.766666667,2.95316,5.722861,5.410652174,3.27177,4462.053,4266.101272
1966/10/1,3.7,3.44478,5.734915,5.559782609,3.56955,4498.66,4313.087835
1967/1/1,3.833333333,3.52823,5.746704,4.819444444,2.87081,4538.498,4360.84209
1967/4/1,3.833333333,3.29341,5.75827,3.992307692,2.56675,4541.28,4408.893001
1967/7/1,3.8,3.46192,5.769672,3.891847826,2.70823,4584.246,4457.350483
1967/10/1,3.9,3.52595,5.780984,4.172826087,2.99037,4618.812,4506.93967
1968/1/1,3.733333333,4.18695,5.792286,4.792637363,3.74115,4713.013,4557.125762
1968/4/1,3.566666667,4.44444,5.803658485,5.984285714,4.1206,4791.758,4607.407026
1968/7/1,3.533333333,4.78011,5.815175533,5.946521739,4.47761,4828.892,4658.952287
1968/10/1,3.4,5.20341,5.826905,5.918152174,4.62598,4847.885,4711.337239
1969/1/1,3.4,5.3271,5.838901,6.567444444,4.87329,4923.76,4762.092814
1969/4/1,3.433333333,5.92044,5.851209641,8.332527473,5.50193,4938.728,4811.038732
1969/7/1,3.566666667,5.93066,5.863864,8.981086957,5.52381,4971.349,4857.717658
1969/10/1,3.566666667,5.84532,5.876888,8.941630435,5.83255,4947.104,4902.479608
1970/1/1,4.166666667,6.03372,5.890298367,8.558888889,6.22677,4939.759,4945.562227
1970/4/1,4.766666667,6.28821,5.9041,7.883296703,6.03843,4946.77,4986.838167
1970/7/1,5.166666667,6.20155,5.918292,6.711086957,5.68592,4992.357,5026.770501
