OPEID CODE,COLLEGE NAME,CITY,STATE,ZIP,2/4 YR,EVDCode
111100,ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,93454,2,1
111300,ANTELOPE VALLEY COLLEGE,LANCASTER,CA,93534,2,1
111800,BAKERSFIELD COLLEGE,BAKERSFIELD,CA,93305,2,1
111900,BARSTOW CMTY COLLEGE,BARSTOW,CA,92311,2,1
112400,CABRILLO COLLEGE,APTOS,CA,95003,2,1
116100,CERRITOS COLLEGE,NORWALK,CA,90650,2,1
116200,CHABOT COLLEGE,HAYWARD,CA,94545,2,1
116300,CHAFFEY CMTY COLLEGE,RNCH CMNGA,CA,91737,2,1
116600,CITRUS COLLEGE,GLENDORA,CA,91740,2,1
116700,CITY COLLEGE SAN FRANCISC,SAN FRNCSCO,CA,94112,2,1
117600,WEST HILLS CMTY COLLEGE,COALINGA,CA,93210,2,1
117800,COLL MARIN,KENTFIELD,CA,94904,2,1
118100,COLL SAN MATEO,SAN MATEO,CA,94402,2,1
118200,COLL DESERT,PALM DESERT,CA,92260,2,1
118500,COLL REDWOODS,EUREKA,CA,95501,2,1
118600,COLL SEQUOIAS,VISALIA,CA,93277,2,1
118700,COLL SISKIYOUS,WEED,CA,96094,2,1
118800,COMPTON CMTY COLLEGE,COMPTON,CA,90221,2,1
119000,CONTRA COSTA COLLEGE,SAN PABLO,CA,94806,2,1
119100,DIABLO VALLEY COLLEGE,PLEASNT HL,CA,94523,2,1
119200,CUESTA CMTY COLLEGE,SNLUIS OBSP,CA,93403,2,1
119300,CYPRESS COLLEGE,CYPRESS,CA,90630,2,1
119700,EL CAMINO COLLEGE,VIA TORRANC,CA,90506,2,1
119900,FOOTHILL COLLEGE,L ALTOS HLS,CA,94022,2,1
120100,FULLERTON COLLEGE,FULLERTON,CA,92634,2,1
120200,GAVILAN COLLEGE,GILROY,CA,95020,2,1
120300,GLENDALE CMTY COLLEGE CA,GLENDALE,CA,91208,2,1
120600,GOLDEN WEST COLLEGE,HUNTNGTN BH,CA,92647,2,1
120800,GROSSMONT CMTY COLLEGE,EL CAJON,CA,92020,2,1
120900,HARTNELL COLLEGE,SALINAS,CA,93901,2,1
121200,HUMPHREYS COLLEGE,STOCKTON,CA,95207,2,1
121400,IMPERIAL VALLEY COLLEGE,IMPERIAL,CA,92251,2,1
121700,LASSEN COLLEGE,SUSANVILLE,CA,96130,2,1
121900,LONG BEACH CITY COLLEGE,LONG BEACH,CA,90808,2,1
122300,LOS ANGELES CITY COLLEGE,LOS ANGELES,CA,90029,2,1
122400,LOS ANGELES HARBOR COLLEG,WILMINGTON,CA,90744,2,1
122600,LOS ANGELES PIERCE COLLEG,WOODLND HLS,CA,91371,2,1
122700,LOS ANGELES TRADE-TECH CO,LOS ANGELES,CA,90015,2,1
122800,LOS ANGELES VALLEY COLL,VALLEY GLEN,CA,91401,2,1
123200,AMERICAN RIVER COLLEGE,SACRAMENTO,CA,95841,2,1
123300,SACRAMENTO CITY COLLEGE,SACRAMENTO,CA,95822,2,1
123600,MENLO COLLEGE,ATHERTON,CA,94027,4,1
123700,MERCED COLLEGE,MERCED,CA,95340,2,1
123900,MIRA COSTA COLLEGE,OCEANSIDE,CA,92056,2,1
124000,MODESTO JR COLLEGE,MODESTO,CA,95350,2,1
124100,MONTEREY INST INTRNTL STU,MONTEREY,CA,93940,4,1
124200,MONTEREY PENINSULA COLLEG,MONTEREY,CA,93940,2,1
124500,MT SAN ANTONIO COLL,WALNUT,CA,91789,2,1
124600,MOUNT SAN JACINTO COLLEGE,SAN JACINTO,CA,92383,2,1
124700,NAPA VALLEY COLLEGE,NAPA,CA,94558,2,1
125000,ORANGE COAST COLLEGE,COSTA MESA,CA,92626,2,1
125500,PACIFIC OAKS COLLEGE,PASADENA,CA,91103,2,1
