"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Los Angeles","Los Angeles","Los Angeles County","06037","CA","California","34.3209","-118.2247","10040682"
"Cook","Cook","Cook County","17031","IL","Illinois","41.8401","-87.8168","5169517"
"Harris","Harris","Harris County","48201","TX","Texas","29.8578","-95.3936","4680609"
"Maricopa","Maricopa","Maricopa County","04013","AZ","Arizona","33.3490","-112.4915","4412779"
"San Diego","San Diego","San Diego County","06073","CA","California","33.0343","-116.7350","3323970"
"Orange","Orange","Orange County","06059","CA","California","33.7031","-117.7609","3170345"
"Miami-Dade","Miami-Dade","Miami-Dade County","12086","FL","Florida","25.6149","-80.5623","2705528"
"Dallas","Dallas","Dallas County","48113","TX","Texas","32.7666","-96.7778","2622634"
"Kings","Kings","Kings County","36047","NY","New York","40.6395","-73.9385","2576771"
"Riverside","Riverside","Riverside County","06065","CA","California","33.7437","-115.9938","2437864"
"Queens","Queens","Queens County","36081","NY","New York","40.7023","-73.8203","2270976"
"Clark","Clark","Clark County","32003","NV","Nevada","36.2152","-115.0135","2228866"
"King","King","King County","53033","WA","Washington","47.4902","-121.8052","2225064"
"San Bernardino","San Bernardino","San Bernardino County","06071","CA","California","34.8414","-116.1785","2162532"
"Tarrant","Tarrant","Tarrant County","48439","TX","Texas","32.7719","-97.2911","2077153"
"Bexar","Bexar","Bexar County","48029","TX","Texas","29.4489","-98.5200","1978826"
"Broward","Broward","Broward County","12011","FL","Florida","26.1523","-80.4871","1942273"
"Santa Clara","Santa Clara","Santa Clara County","06085","CA","California","37.2318","-121.6951","1924379"
"Wayne","Wayne","Wayne County","26163","MI","Michigan","42.2819","-83.2822","1753059"
"Alameda","Alameda","Alameda County","06001","CA","California","37.6469","-121.8888","1661584"
"New York","New York","New York County","36061","NY","New York","40.7784","-73.9674","1629153"
"Middlesex","Middlesex","Middlesex County","25017","MA","Massachusetts","42.4856","-71.3918","1605899"
"Philadelphia","Philadelphia","Philadelphia County","42101","PA","Pennsylvania","40.0077","-75.1339","1581531"
"Sacramento","Sacramento","Sacramento County","06067","CA","California","38.4493","-121.3443","1537948"
"Palm Beach","Palm Beach","Palm Beach County","12099","FL","Florida","26.6476","-80.4655","1482057"
"Suffolk","Suffolk","Suffolk County","36103","NY","New York","40.8686","-72.8448","1481364"
"Hillsborough","Hillsborough","Hillsborough County","12057","FL","Florida","27.9292","-82.3092","1451358"
"Bronx","Bronx","Bronx County","36005","NY","New York","40.8500","-73.8661","1427056"
"Orange","Orange","Orange County","12095","FL","Florida","28.5144","-81.3235","1373784"
"Nassau","Nassau","Nassau County","36059","NY","New York","40.7328","-73.5865","1355683"
"Franklin","Franklin","Franklin County","39049","OH","Ohio","39.9695","-83.0093","1304715"
"Oakland","Oakland","Oakland County","26125","MI","Michigan","42.6604","-83.3858","1255340"
"Hennepin","Hennepin","Hennepin County","27053","MN","Minnesota","45.0045","-93.4770","1255296"
"Travis","Travis","Travis County","48453","TX","Texas","30.3344","-97.7820","1250884"
"Cuyahoga","Cuyahoga","Cuyahoga County","39035","OH","Ohio","41.4243","-81.6586","1241475"
"Allegheny","Allegheny","Allegheny County","42003","PA","Pennsylvania","40.4688","-79.9812","1218380"
"Fairfax","Fairfax","Fairfax County","51059","VA","Virginia","38.8368","-77.2770","1149439"
"Contra Costa","Contra Costa","Contra Costa County","06013","CA","California","37.9191","-121.9277","1147788"
"Salt Lake","Salt Lake","Salt Lake County","49035","UT","Utah","40.6673","-111.9236","1146215"
"Mecklenburg","Mecklenburg","Mecklenburg County","37119","NC","North Carolina","35.2467","-80.8328","1095170"
"Wake","Wake","Wake County","37183","NC","North Carolina","35.7903","-78.6503","1091662"
"Fulton","Fulton","Fulton County","13121","GA","Georgia","33.7903","-84.4670","1051550"
"Montgomery","Montgomery","Montgomery County","24031","MD","Maryland","39.1363","-77.2042","1047661"
"Pima","Pima","Pima County","04019","AZ","Arizona","32.0974","-111.7899","1038476"
"Collin","Collin","Collin County","48085","TX","Texas","33.1880","-96.5724","1006038"
"St. Louis","St. Louis","St. Louis County","29189","MO","Missouri","38.6407","-90.4434","996179"
"Fresno","Fresno","Fresno County","06019","CA","California","36.7582","-119.6493","990204"
"Honolulu","Honolulu","Honolulu County","15003","HI","Hawaii","21.5008","-158.1053","979682"
"Pinellas","Pinellas","Pinellas County","12103","FL","Florida","27.9199","-82.7256","970985"
"Westchester","Westchester","Westchester County","36119","NY","New York","41.1624","-73.7561","968738"
"Marion","Marion","Marion County","18097","IN","Indiana","39.7817","-86.1385","957337"
"Milwaukee","Milwaukee","Milwaukee County","55079","WI","Wisconsin","43.0072","-87.9669","949180"
"Duval","Duval","Duval County","12031","FL","Florida","30.3316","-81.6708","948651"
"Fairfield","Fairfield","Fairfield County","09001","CT","Connecticut","41.2711","-73.3893","944306"
"Shelby","Shelby","Shelby County","47157","TN","Tennessee","35.1842","-89.8940","936611"
"Bergen","Bergen","Bergen County","34003","NJ","New Jersey","40.9597","-74.0742","931275"
"Gwinnett","Gwinnett","Gwinnett County","13135","GA","Georgia","33.9617","-84.0236","926414"
"DuPage","DuPage","DuPage County","17043","IL","Illinois","41.8520","-88.0856","926005"
"Erie","Erie","Erie County","36029","NY","New York","42.7639","-78.7323","918873"
"Prince George's","Prince George's","Prince George's County","24033","MD","Maryland","38.8295","-76.8473","910551"
"Kern","Kern","Kern County","06029","CA","California","35.3426","-118.7301","892458"
"Hartford","Hartford","Hartford County","09003","CT","Connecticut","41.8064","-72.7329","892153"
"Pierce","Pierce","Pierce County","53053","WA","Washington","47.0241","-122.1046","891862"
"San Francisco","San Francisco","San Francisco County","06075","CA","California","37.7558","-122.4449","874784"
"Macomb","Macomb","Macomb County","26099","MI","Michigan","42.6957","-82.9323","870893"
"Denton","Denton","Denton County","48121","TX","Texas","33.2055","-97.1168","861690"
"Hidalgo","Hidalgo","Hidalgo County","48215","TX","Texas","26.3967","-98.1811","861137"
"New Haven","New Haven","New Haven County","09009","CT","Connecticut","41.4106","-72.9321","855733"
"Ventura","Ventura","Ventura County","06111","CA","California","34.4561","-119.0836","845599"
"El Paso","El Paso","El Paso County","48141","TX","Texas","31.7686","-106.2348","836915"
"Baltimore","Baltimore","Baltimore County","24005","MD","Maryland","39.4627","-76.6393","828193"
"Montgomery","Montgomery","Montgomery County","42091","PA","Pennsylvania","40.2108","-75.3673","827180"
"Worcester","Worcester","Worcester County","25027","MA","Massachusetts","42.3514","-71.9077","826655"
"Middlesex","Middlesex","Middlesex County","34023","NJ","New Jersey","40.4392","-74.4117","825015"
"Hamilton","Hamilton","Hamilton County","39061","OH","Ohio","39.1955","-84.5428","815790"
"Snohomish","Snohomish","Snohomish County","53061","WA","Washington","48.0475","-121.6975","811572"
"Multnomah","Multnomah","Multnomah County","41051","OR","Oregon","45.5468","-122.4148","809869"
"Suffolk","Suffolk","Suffolk County","25025","MA","Massachusetts","42.3334","-71.0719","801162"
"Essex","Essex","Essex County","34013","NJ","New Jersey","40.7872","-74.2471","798698"
"Oklahoma","Oklahoma","Oklahoma County","40109","OK","Oklahoma","35.5515","-97.4072","792668"
"Fort Bend","Fort Bend","Fort Bend County","48157","TX","Texas","29.5275","-95.7709","790892"
"Essex","Essex","Essex County","25009","MA","Massachusetts","42.6732","-70.9520","787038"
"Jefferson","Jefferson","Jefferson County","21111","KY","Kentucky","38.1872","-85.6591","768419"
"San Mateo","San Mateo","San Mateo County","06081","CA","California","37.4229","-122.3290","765623"
"Cobb","Cobb","Cobb County","13067","GA","Georgia","33.9415","-84.5767","756653"
"Lee","Lee","Lee County","12071","FL","Florida","26.5779","-81.8337","756570"
"DeKalb","DeKalb","DeKalb County","13089","GA","Georgia","33.7715","-84.2264","755287"
"San Joaquin","San Joaquin","San Joaquin County","06077","CA","California","37.9348","-121.2714","751615"
"Monroe","Monroe","Monroe County","36055","NY","New York","43.1464","-77.6961","743084"
"Denver","Denver","Denver County","08031","CO","Colorado","39.7620","-104.8758","715878"
"El Paso","El Paso","El Paso County","08041","CO","Colorado","38.8321","-104.5255","710499"
"Polk","Polk","Polk County","12105","FL","Florida","27.9489","-81.6977","705735"
"Norfolk","Norfolk","Norfolk County","25021","MA","Massachusetts","42.1605","-71.2114","703740"
"District of Columbia","District of Columbia","District of Columbia","11001","DC","District of Columbia","38.9047","-77.0163","701974"
"Jackson","Jackson","Jackson County","29095","MO","Missouri","39.0085","-94.3461","700733"
"Lake","Lake","Lake County","17097","IL","Illinois","42.3233","-88.0037","699682"
"Davidson","Davidson","Davidson County","47037","TN","Tennessee","36.1695","-86.7847","690540"
"Will","Will","Will County","17197","IL","Illinois","41.4450","-87.9786","689704"
"Bernalillo","Bernalillo","Bernalillo County","35001","NM","New Mexico","35.0514","-106.6702","679037"
"Hudson","Hudson","Hudson County","34017","NJ","New Jersey","40.7371","-74.0779","671923"
"Jefferson","Jefferson","Jefferson County","01073","AL","Alabama","33.5543","-86.8964","658615"
"Kent","Kent","Kent County","26081","MI","Michigan","43.0322","-85.5493","652617"
"Tulsa","Tulsa","Tulsa County","40143","OK","Oklahoma","36.1211","-95.9415","650291"
"Arapahoe","Arapahoe","Arapahoe County","08005","CO","Colorado","39.6498","-104.3392","649980"
"Providence","Providence","Providence County","44007","RI","Rhode Island","41.8721","-71.5800","636161"
"Bucks","Bucks","Bucks County","42017","PA","Pennsylvania","40.3370","-75.1069","627668"
"Utah","Utah","Utah County","49049","UT","Utah","40.1199","-111.6703","621506"
"Monmouth","Monmouth","Monmouth County","34025","NJ","New Jersey","40.2603","-74.2213","620821"
"Baltimore","Baltimore","Baltimore City","24510","MD","Maryland","39.3051","-76.6144","602274"
"Ocean","Ocean","Ocean County","34029","NJ","New Jersey","39.8855","-74.2813","602018"
"Johnson","Johnson","Johnson County","20091","KS","Kansas","38.8838","-94.8223","597574"
"Washington","Washington","Washington County","41067","OR","Oregon","45.5601","-123.0983","595761"
"Brevard","Brevard","Brevard County","12009","FL","Florida","28.2936","-80.7323","594001"
"Montgomery","Montgomery","Montgomery County","48339","TX","Texas","30.3002","-95.5030","590188"
"Jefferson","Jefferson","Jefferson County","08059","CO","Colorado","39.5864","-105.2505","578795"
"Anne Arundel","Anne Arundel","Anne Arundel County","24003","MD","Maryland","39.0065","-76.6051","575421"
"Williamson","Williamson","Williamson County","48491","TX","Texas","30.6475","-97.6004","570437"
"Douglas","Douglas","Douglas County","31055","NE","Nebraska","41.2954","-96.1543","565739"
"Delaware","Delaware","Delaware County","42045","PA","Pennsylvania","39.9167","-75.3991","565328"
"Bristol","Bristol","Bristol County","25005","MA","Massachusetts","41.7972","-71.1144","563301"
"New Castle","New Castle","New Castle County","10003","DE","Delaware","39.5768","-75.6527","558306"
"Union","Union","Union County","34039","NJ","New Jersey","40.6601","-74.3087","555208"
"Ramsey","Ramsey","Ramsey County","27123","MN","Minnesota","45.0171","-93.0996","546598"
"Stanislaus","Stanislaus","Stanislaus County","06099","CA","California","37.5591","-120.9977","546235"
"Volusia","Volusia","Volusia County","12127","FL","Florida","29.0583","-81.1819","546107"
"Lancaster","Lancaster","Lancaster County","42071","PA","Pennsylvania","40.0424","-76.2477","543050"
"Dane","Dane","Dane County","55025","WI","Wisconsin","43.0673","-89.4181","542459"
"Summit","Summit","Summit County","39153","OH","Ohio","41.1260","-81.5322","540810"
"Pasco","Pasco","Pasco County","12101","FL","Florida","28.3091","-82.3932","539885"
